Rk,Team,Year,Playoff Wins,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,O_MP,O_FG,O_FGA,O_FG%,O_3P,O_3PA,O_3P%,O_2P,O_2PA,O_2P%,O_FT,O_FTA,O_FT%,O_ORB,O_DRB,O_TRB,O_AST,O_STL,O_BLK,O_TOV,O_PF,O_PTS,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,O_eFG%,O_TOV%,DRB%,O_FT/FGA,Arena,Attendance
13,Houston Rockets,2004,1,3,25,28,12,5,6,3,27,28,12,24,25,8,28,2,13,24,26,8,28,18,25,27,3,9,2,22,14,27,2,8,1,17,18,3,5,3,2,10,26,4,26,18,5,10,10,10,10,10,8,9,24,5,25,21,4,6,29,25,17,4,24,2,19,Toyota Center,22
14,Memphis Grizzlies,2004,0,5,7,9,8,9,8,20,8,14,7,9,7,24,8,25,17,5,1,2,16,27,7,24,13,12,12,5,5,8,16,22,13,26,25,24,29,18,26,8,21,25,3,3,15,8,8,9,9,9,9,8,7,11,10,8,10,8,9,10,13,10,1,29,25,Pyramid Arena,25
15,Boston Celtics,2004,0,28,15,22,9,3,3,12,24,27,6,8,8,18,27,17,27,17,2,25,24,24,8,1,15,15,14,29,29,24,8,4,15,23,26,2,25,22,23,23,27,11,1,9,20,20,20,17,17,19,23,20,17,17,2,7,3,4,24,28,5,19,1,24,22,FleetCenter,20
16,New York Knicks,2004,0,5,13,17,12,17,20,4,12,11,16,23,27,3,19,5,13,16,19,15,21,26,16,24,11,11,8,10,14,8,11,11,7,28,27,23,8,10,9,8,21,7,23,27,13,17,17,20,20,20,22,19,20,14,17,26,20,13,23,19,22,8,23,8,27,Madison Square Garden (IV),5
1,San Antonio Spurs,2005,16,17,19,21,10,11,12,8,20,23,8,22,16,26,15,11,11,13,16,1,7,5,18,13,3,6,3,1,1,24,10,23,1,6,6,25,3,10,6,1,9,20,11,13,1,2,2,1,1,1,15,1,8,1,23,12,11,6,12,12,21,1,5,3,11,SBC Center,9
2,Detroit Pistons,2005,15,3,23,22,17,22,22,21,16,12,20,16,13,23,6,9,4,11,20,3,10,2,24,28,8,12,5,3,4,4,8,12,5,2,2,12,7,5,4,4,12,7,21,17,2,5,5,5,5,6,29,6,17,3,29,11,22,23,13,4,14,5,18,5,3,The Palace of Auburn Hills,1
3,Miami Heat,2005,11,2,3,26,1,14,16,3,10,22,1,13,2,30,25,2,6,11,28,5,7,11,4,29,10,20,4,8,11,10,11,22,3,17,16,19,6,9,7,5,14,1,26,2,8,2,2,2,2,3,30,4,5,6,14,1,15,2,11,25,10,4,26,2,14,AmericanAirlines Arena,4
4,Phoenix Suns,2005,9,19,1,2,2,1,1,1,14,24,2,19,19,22,18,1,1,3,20,9,7,1,1,8,30,30,14,25,28,3,30,30,16,1,1,4,30,26,29,14,17,4,21,26,30,1,1,2,2,2,16,2,1,17,1,26,1,1,3,22,24,10,28,29,1,America West Arena,11
5,Dallas Mavericks,2005,6,27,4,7,8,15,15,6,12,11,6,1,5,4,14,7,8,26,4,7,4,13,3,3,15,22,7,12,25,1,16,20,11,14,13,15,27,19,24,11,7,14,6,12,14,4,4,4,4,4,13,3,4,9,9,9,17,6,4,16,3,7,9,23,12,American Airlines Center,3
6,Seattle SuperSonics,2005,6,24,22,20,17,2,2,5,29,29,10,11,15,3,8,27,23,30,24,23,5,24,11,5,13,7,23,17,17,14,13,6,25,13,13,10,7,1,2,8,1,12,26,5,13,6,6,7,7,7,8,8,2,27,27,13,2,5,8,2,11,23,23,14,18,KeyArena at Seattle Center,21
7,Indiana Pacers,2005,6,5,30,30,25,7,6,24,30,30,20,7,10,2,28,18,26,29,16,19,15,19,25,24,7,4,10,2,2,23,8,10,7,19,21,3,15,12,12,2,4,14,20,14,5,14,14,13,13,15,20,13,18,11,29,4,4,18,20,26,1,7,17,14,20,Conseco Fieldhouse,17
8,Washington Wizards,2005,4,19,12,5,22,10,8,25,18,14,20,2,1,24,1,23,9,28,3,20,15,9,6,8,24,23,23,28,27,21,20,17,24,8,9,20,21,23,23,27,7,18,3,3,23,11,11,16,16,16,25,17,10,19,5,2,9,22,7,5,8,25,7,25,8,MCI Center,14
9,Boston Celtics,2005,3,8,5,19,3,17,17,18,11,18,3,3,4,14,23,16,24,8,8,13,25,27,5,21,17,18,12,25,25,12,14,14,12,28,29,14,25,13,20,24,29,14,6,7,22,11,11,13,13,13,27,14,8,14,5,5,16,3,25,23,3,14,10,24,27,FleetCenter,24
10,Houston Rockets,2005,3,11,24,22,20,6,7,6,26,26,15,21,26,7,27,3,11,16,23,16,10,9,20,16,4,9,2,12,21,4,4,7,3,12,12,2,3,15,8,8,12,3,25,23,3,7,7,5,5,5,11,5,14,4,24,22,7,11,16,27,18,3,23,1,15,Toyota Center,23
11,Chicago Bulls,2005,2,16,24,16,25,11,11,12,22,21,27,22,21,21,13,4,2,15,20,18,30,29,21,15,6,14,1,4,10,2,5,16,2,22,25,4,15,24,22,11,26,24,9,11,7,10,10,12,12,12,26,12,26,2,11,21,10,24,30,18,22,2,8,7,22,United Center,2
12,Sacramento Kings,2005,1,11,2,3,4,9,12,4,5,8,5,18,24,6,10,13,11,1,7,24,1,3,2,16,29,29,23,17,17,14,29,29,23,5,7,1,28,25,27,18,17,7,14,25,26,8,8,9,9,9,6,9,3,23,8,27,14,4,1,15,23,21,20,28,5,ARCO Arena (II),13
13,Denver Nuggets,2005,1,24,7,14,4,24,24,26,1,6,6,6,5,15,18,12,15,2,2,4,22,16,8,5,16,15,15,15,21,9,15,11,16,18,20,9,15,15,15,20,22,27,2,4,17,9,9,9,9,10,12,10,16,8,4,7,24,15,18,18,6,15,4,11,16,Pepsi Center,12
14,Philadelphia 76ers,2005,1,11,16,6,22,11,10,20,19,15,25,8,11,4,23,7,15,20,1,24,23,16,10,16,12,16,11,30,30,18,7,5,13,27,24,23,12,28,26,26,25,10,1,9,19,16,16,17,17,17,24,18,24,10,2,14,11,19,21,29,12,17,1,6,24,Wachovia Center,10
15,Memphis Grizzlies,2005,0,29,27,29,15,8,9,12,27,28,9,24,23,19,25,28,30,20,5,5,19,22,23,1,1,3,6,6,4,11,3,4,6,21,19,27,19,8,10,6,14,28,3,17,4,11,11,7,7,7,7,7,18,5,25,16,7,9,23,24,17,6,1,26,26,FedEx Forum,19
16,New Jersey Nets,2005,0,5,28,22,29,17,19,10,23,20,28,19,22,15,29,22,29,13,10,27,14,26,29,24,2,2,9,22,17,26,1,2,9,22,25,4,2,22,10,7,10,14,6,15,6,17,17,19,19,19,23,21,26,6,20,18,19,28,17,28,18,11,3,4,28,Continental Airlines Arena,26
1,Miami Heat,2006,16,28,4,19,2,12,11,20,7,26,1,17,7,29,20,2,1,17,28,8,15,15,6,3,10,22,8,17,18,18,7,14,7,18,18,10,3,7,5,9,9,3,28,5,13,5,5,5,5,5,27,6,7,9,11,6,10,2,18,17,15,10,29,1,17,AmericanAirlines Arena,4
2,Dallas Mavericks,2006,14,9,15,18,7,21,21,8,8,11,12,3,5,6,3,16,6,29,13,2,5,11,9,19,7,6,10,4,4,18,8,17,7,16,15,23,17,1,2,2,4,15,20,4,7,3,3,3,3,3,21,3,1,11,26,5,21,10,8,2,3,7,14,17,19,American Airlines Center,3
3,Phoenix Suns,2006,10,1,1,1,1,1,1,1,5,19,2,30,30,1,30,3,10,1,22,12,3,3,1,29,30,30,14,25,24,20,30,30,14,4,5,1,29,30,30,6,15,1,8,30,28,4,4,4,4,4,20,4,2,16,1,30,1,1,2,30,30,14,23,19,2,America West Arena,12
4,Detroit Pistons,2006,10,17,11,11,12,6,10,3,22,16,16,27,26,23,9,24,18,2,16,2,1,1,19,8,14,14,13,2,2,1,23,28,13,1,1,6,19,9,15,5,1,2,20,26,3,1,1,2,2,2,30,2,4,5,29,28,12,7,1,7,26,10,14,25,1,The Palace of Auburn Hills,1
